Time Stamp	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Z	Gyroscope X	Gyroscope Y	Gyroscope Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Quaternion 0	Quaternion 1	Quaternion 2	Quaternion 3
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL
milliseconds	m/(s^2) *	m/(s^2) *	m/(s^2) *	degrees/s *	degrees/s *	degrees/s *	local flux *	local flux *	local flux *	normalised quaternion	normalised quaternion	normalised quaternion	normalised quaternion
15872281.12792969	0.2574257425742574	-13.17821782178218	-17.66336633663366	-468.4981684981685	-826.7399267399267	-4500.7326007326	-0.2655172413793103	-6.827586206896552	-2.541379310344828	-0.3746734465769154	0.6073270550978322	-0.4651689934582474	0.5238238865319248
15872281.12792969	-6.079207920792079	-10.64356435643564	-20.1980198019802	-468.4981684981685	-827.106227106227	-4031.868131868132	-0.2896551724137931	-6.817241379310345	-2.556896551724138	-0.02649286742151225	0.8445454038637169	-0.03599729383304415	0.5336153892319403
15872288.94042969	-12.41584158415842	-10.64356435643564	-20.1980198019802	-468.4981684981685	-827.106227106227	-2906.593406593407	-0.293103448275862	-6.817241379310345	-2.560344827586207	0.2653942158613168	0.8367446515663135	0.3034295517563246	0.370614092262398
15872296.75292969	-18.75247524752475	-10.64356435643564	-17.66336633663366	-468.4981684981685	-827.106227106227	-3750.54945054945	-0.2672413793103448	-6.817241379310345	-2.539655172413793	0.5117554825522038	0.5606704639481136	0.6455557089143895	0.08374236455945135
15872374.87792969	15.46534653465346	-8.10891089108911	-17.66336633663366	-468.4981684981685	-827.106227106227	-3375.457875457875	-0.2793103448275862	-6.824137931034483	-2.555172413793104	0.59518890753121	0.1360656093902768	0.7650424722638534	-0.2048080318871026
15872460.81542969	9.128712871287128	-10.64356435643564	-20.1980198019802	-468.4981684981685	-827.106227106227	-3375.457875457875	-0.2344827586206897	-6.824137931034483	-2.555172413793104	0.5054373345010782	-0.3308814749490685	0.6680603602236612	-0.4344489676887336
16384406.12792969	2.792079207920792	-8.10891089108911	-17.66336633663366	-468.4981684981685	-827.106227106227	-4313.186813186813	-0.2706896551724138	-6.820689655172414	-2.56551724137931	0.198485674022176	-0.7395979357853621	0.3139179731865009	-0.5612965675117506
16896351.44042969	-3.544554455445545	-10.64356435643564	-17.66336633663366	-468.4981684981685	-827.106227106227	-3469.230769230769	-0.2689655172413793	-6.837931034482758	-2.562068965517241	-0.1238255557497436	-0.8732631785764053	-0.0857401307891441	-0.4633867527866553
16896476.44042969	-9.881188118811881	-8.10891089108911	-17.66336633663366	-468.4981684981685	-827.106227106227	-3094.139194139194	-0.2689655172413793	-6.818965517241379	-2.560344827586207	-0.3935904294684505	-0.7755525003609605	-0.431202456504821	-0.240144403471976
17408453.00292969	-16.21782178217822	-10.64356435643564	17.82178217821782	-468.4981684981685	-826.7399267399267	-4688.278388278388	-0.2758620689655172	-6.843103448275862	-2.551724137931034	-0.5504850095811954	-0.3311680439451829	-0.7571763305017958	0.1182285304981339
17920429.56542969	18	-10.65346534653465	-20.1980198019802	-468.4981684981685	-827.4725274725274	-4219.413919413919	-0.2568965517241379	-6.832758620689655	-2.55	-0.4775734685208487	0.2243285140382595	-0.7474498812696075	0.4036322273362249
17920460.81542969	11.66336633663366	-15.72277227722772	-20.1980198019802	-468.4981684981685	-827.106227106227	-3563.003663003663	-0.2637931034482758	-6.83103448275862	-2.551724137931034	-0.2640801021361454	0.6574498116330233	-0.4887866653206946	0.5090275440918107
18432335.81542969	5.326732673267327	-10.65346534653465	17.82178217821782	-468.4981684981685	-827.106227106227	-3656.776556776556	-0.2810344827586207	-6.832758620689655	-2.558620689655172	0.03091529345061401	0.886141884593022	-0.06531766647715537	0.4577449152604195
18944265.50292969	-1.00990099009901	-13.18811881188119	-15.12871287128713	-468.4981684981685	-827.4725274725274	-2437.728937728938	-0.2741379310344828	-6.841379310344827	-2.551724137931034	0.2537752943248597	0.8942198624668704	0.2369322289213578	0.2825456714558192
18944328.00292969	-7.346534653465347	-8.118811881188119	-17.66336633663366	-468.4981684981685	-827.106227106227	-2812.820512820513	-0.2586206896551724	-6.825862068965517	-2.56551724137931	0.4391413985926726	0.7146372450838424	0.5428863471071655	0.04150727774361495
19456304.56542969	-13.68316831683168	-8.118811881188119	-20.1980198019802	-468.4981684981685	-826.7399267399267	-3656.776556776556	-0.2913793103448276	-6.818965517241379	-2.539655172413793	0.5005503484914438	0.2886962662760107	0.7774929569461444	-0.2482106290281015
19456382.69042969	-20.01980198019802	-10.65346534653465	-20.1980198019802	-468.4981684981685	-827.106227106227	-3938.095238095238	-0.2655172413793103	-6.843103448275862	-2.548275862068965	0.3775405462120823	-0.2580431716768007	0.7590138777589395	-0.4634380119133487
19456554.56542969	14.1980198019802	-8.118811881188119	-17.66336633663366	-468.4981684981685	-827.106227106227	-3281.684981684981	-0.2655172413793103	-6.822413793103448	-2.556896551724138	0.1698962871552719	-0.6750134931974212	0.5178822610940981	-0.4972826150755049
19968398.31542969	7.861386138613861	-10.65346534653465	-17.66336633663366	-468.4981684981685	-827.4725274725274	-3469.230769230769	-0.2586206896551724	-6.834482758620689	-2.558620689655172	-0.0884198904016658	-0.9089146919132139	0.120060897724582	-0.389411590278502
19968546.75292969	1.524752475247525	-10.65346534653465	-15.12871287128713	-468.4981684981685	-826.7399267399267	-3469.230769230769	-0.2689655172413793	-6.836206896551724	-2.556896551724138	-0.3139903205626402	-0.8793022840582421	-0.3172789750125801	-0.1660470531442695
20480445.19042969	-4.811881188118812	-8.118811881188119	-20.1980198019802	-468.4981684981685	-827.4725274725274	-3844.322344322344	-0.2793103448275862	-6.820689655172414	-2.537931034482758	-0.4425548375861403	-0.5551220180581347	-0.693992082926302	0.1198321727741833
20992437.37792969	-11.14851485148515	-13.18811881188119	-17.66336633663366	-468.4981684981685	-827.106227106227	-3469.230769230769	-0.2586206896551724	-6.829310344827586	-2.553448275862069	-0.4336872563505511	-0.07456522709941255	-0.827781915084052	0.3480409338662967
21504288.94042969	-17.48514851485148	-8.118811881188119	-17.66336633663366	-468.4981684981685	-827.4725274725274	-3938.095238095238	-0.2724137931034483	-6.83103448275862	-2.558620689655172	-0.2596136230081422	0.4667560370900319	-0.6979057311777969	0.4771447987537745
21504406.12792969	16.73267326732673	-13.18811881188119	-20.1980198019802	-468.4981684981685	-827.106227106227	-4875.824175824176	-0.2637931034482758	-6.827586206896552	-2.562068965517241	0.06192990702400392	0.8662800097695098	-0.2394106855703291	0.4340577783250534
22016281.12792969	10.3960396039604	-15.72277227722772	-17.66336633663366	-468.4981684981685	-826.7399267399267	-3844.322344322344	-0.2672413793103448	-6.834482758620689	-2.555172413793104	0.3110500624233926	0.897780783664101	0.2326746310074759	0.2076054894154086
22016351.44042969	4.059405940594059	-13.18811881188119	-20.1980198019802	-468.4981684981685	-827.4725274725274	-3938.095238095238	-0.2862068965517242	-6.825862068965517	-2.558620689655172	0.4531217492400213	0.6149268046237982	0.6387147939704603	-0.09267749070891455
22528265.50292969	-2.277227722772277	-13.18811881188119	-20.1980198019802	-468.4981684981685	-827.4725274725274	-3375.457875457875	-0.2827586206896552	-6.825862068965517	-2.567241379310345	0.4579600351192535	0.1674878431318882	0.8056528713197711	-0.3363686661548732
22528273.31542969	-8.613861386138614	-10.65346534653465	-17.66336633663366	-468.4981684981685	-827.106227106227	-3094.139194139194	-0.2913793103448276	-6.822413793103448	-2.563793103448276	0.3495423657357302	-0.3022848500369986	0.7523793165721434	-0.4694351584493993
22528382.69042969	-14.95049504950495	-10.65346534653465	-20.1980198019802	-468.4981684981685	-827.106227106227	-4594.505494505494	-0.2620689655172413	-6.837931034482758	-2.558620689655172	0.05033845084513905	-0.7691844295386264	0.3995406258514659	-0.4961740037689079
22528554.56542969	19.26732673267327	-10.65346534653465	-17.66336633663366	-468.4981684981685	-827.106227106227	-4219.413919413919	-0.2517241379310345	-6.827586206896552	-2.548275862068965	-0.2485933488808033	-0.9118496729238383	-0.09136598876966753	-0.3136618832071519
23040406.12792969	12.93069306930693	-13.18811881188119	-20.1980198019802	-468.4981684981685	-827.106227106227	-4875.824175824176	-0.2810344827586207	-6.836206896551724	-2.556896551724138	-0.4506458793290042	-0.6583555484317994	-0.6027765423015461	0.01211211558092606
23040562.37792969	6.594059405940594	-10.65346534653465	-15.12871287128713	-468.4981684981685	-827.4725274725274	-5344.688644688645	-0.2551724137931035	-6.839655172413793	-2.555172413793104	-0.4200655639566662	-0.04989054770746136	-0.838105199454045	0.3444350880431794
23552484.25292969	0.2574257425742574	-10.65346534653465	-20.1980198019802	-468.4981684981685	-827.4725274725274	-4500.7326007326	-0.2689655172413793	-6.817241379310345	-2.567241379310345	-0.2121136841732938	0.5333584629518807	-0.6662177836958759	0.4761201525575183
24064429.56542969	-6.079207920792079	-10.65346534653465	-17.66336633663366	-468.4981684981685	-827.106227106227	-2719.047619047619	-0.2517241379310345	-6.832758620689655	-2.560344827586207	-0.04083210038923744	0.8310455781116601	-0.3892690206918827	0.3951779551144555
24576421.75292969	-12.41584158415842	-10.65346534653465	-17.66336633663366	-468.4981684981685	-827.106227106227	-3656.776556776556	-0.2448275862068965	-6.827586206896552	-2.555172413793104	0.1787502600124058	0.95443146220488	0.08417903749800443	0.223657814853096
24576546.75292969	-18.75247524752475	-13.18811881188119	-20.1980198019802	-468.4981684981685	-826.7399267399267	-2719.047619047619	-0.2689655172413793	-6.834482758620689	-2.567241379310345	0.3305819280306526	0.8373057152573081	0.4354374578031145	0.005380371636306416
25088288.94042969	15.46534653465346	-13.18811881188119	-17.66336633663366	-468.4981684981685	-827.8388278388278	-4969.597069597069	-0.2758620689655172	-6.837931034482758	-2.551724137931034	0.347840404956312	0.3339504906612497	0.8329382294875149	-0.2714738078068366
25088429.56542969	9.128712871287128	-10.65346534653465	-17.66336633663366	-468.4981684981685	-827.106227106227	-3000.3663003663	-0.2758620689655172	-6.818965517241379	-2.536206896551724	0.30471643291978	-0.143467738829799	0.8618041903714545	-0.3792867528426367
25600288.94042969	2.792079207920792	-10.65346534653465	17.82178217821782	-468.4981684981685	-827.106227106227	-4782.051282051281	-0.2879310344827586	-6.817241379310345	-2.529310344827586	0.07980205450976426	-0.7132549006272931	0.5582224862989508	-0.4162772328837938
25600296.75292969	-3.544554455445545	-10.65346534653465	-20.1980198019802	-468.4981684981685	-826.7399267399267	-5719.780219780219	-0.293103448275862	-6.81551724137931	-2.58103448275862	-0.2134950583802904	-0.9426813126481309	-0.07722403222506091	-0.2445572564413002
